xCoord,yCoord
1783.0,1837.0
1346.0,1969.0
1255.0,2243.0
1991.0,1699.0
1387.0,2019.0
1849.0,1806.0
1610.0,2091.0
1676.0,2080.0
1702.0,2253.0
1869.0,2085.0
1991.0,1857.0
2047.0,2131.0
1595.0,2395.0
2520.0,2040.0
1316.0,2487.0
1824.0,2421.0
2052.0,2390.0
2408.0,2604.0
1544.0,2614.0
1869.0,2751.0
2225.0,3071.0
1565.0,2776.0
1189.0,2441.0
1194.0,2858.0
2017.0,1064.0
1372.0,1008.0
935.0,3198.0
991.0,3000.0
930.0,3340.0
899.0,3076.0
1189.0,993.0
1681.0,1049.0
1417.0,1008.0
1311.0,1054.0
1946.0,1268.0
1539.0,1217.0
1453.0,1130.0
803.0,2883.0
1209.0,1120.0
1067.0,2502.0
1875.0,1293.0
676.0,2959.0
1712.0,1252.0
1458.0,1293.0
1946.0,1445.0
1773.0,1273.0
1768.0,1456.0
1356.0,1557.0
1270.0,1613.0
808.0,1689.0
1722.0,1572.0
1041.0,2096.0
1427.0,1776.0
1864.0,1567.0
1570.0,1882.0
2149.0,3056.0
2581.0,1948.0
2443.0,2060.0
2738.0,1720.0
2316.0,1806.0
2789.0,1359.0
2464.0,1618.0
2870.0,1232.0
2189.0,1572.0
2250.0,1461.0
2616.0,1075.0
2576.0,1303.0
803.0,3157.0
1387.0,1466.0
559.0,2558.0
1519.0,1750.0
879.0,2319.0
701.0,1933.0
1123.0,2101.0
