xCoord,yCoord
3195.0,2162.0
3033.0,2187.0
3251.0,1826.0
3327.0,2065.0
3226.0,2411.0
3566.0,2197.0
2657.0,2411.0
2703.0,2426.0
3378.0,2619.0
3551.0,2685.0
2728.0,2568.0
2779.0,2593.0
2906.0,3198.0
3175.0,1176.0
2743.0,3122.0
2733.0,2797.0
2987.0,1242.0
2626.0,1181.0
2134.0,1095.0
3038.0,1344.0
1920.0,1095.0
2433.0,1323.0
2403.0,1405.0
2850.0,1283.0
2027.0,1222.0
2570.0,2827.0
2504.0,3112.0
2230.0,1339.0
2443.0,3167.0
2098.0,1354.0
2611.0,1329.0
2992.0,1395.0
1803.0,1313.0
2342.0,3117.0
1951.0,1323.0
2357.0,1511.0
2499.0,2421.0
2494.0,2350.0
3150.0,1450.0
2057.0,2746.0
1692.0,1364.0
2230.0,1522.0
1996.0,2913.0
2591.0,2309.0
2962.0,1445.0
1753.0,2949.0
2824.0,1496.0
2515.0,1740.0
1930.0,1684.0
2941.0,1679.0
1681.0,2116.0
2530.0,2116.0
2540.0,1979.0
1803.0,2248.0
2703.0,1669.0
1763.0,1542.0
2225.0,2151.0
2332.0,1720.0
1666.0,1735.0
3043.0,1669.0
1956.0,2075.0
2733.0,2040.0
2967.0,1806.0
2484.0,2004.0
3317.0,2299.0
3338.0,1562.0
3592.0,1588.0
3749.0,1212.0
3586.0,1344.0
3358.0,3020.0
3444.0,1374.0
3256.0,2878.0
3505.0,1191.0
3033.0,3183.0
3470.0,1085.0
2855.0,3112.0
2647.0,3239.0
2596.0,1496.0
2235.0,3112.0
1951.0,2670.0
1905.0,2959.0
1610.0,1852.0
2652.0,2400.0
2896.0,1628.0
2601.0,2167.0
2230.0,2512.0
2880.0,1770.0
2144.0,2258.0
1905.0,2218.0
2342.0,2268.0
2794.0,2045.0
1707.0,1862.0
2687.0,2172.0
3058.0,1791.0
2972.0,1969.0
3211.0,1877.0
2743.0,2218.0
2936.0,1786.0
