xCoord,yCoord
2916.0,2141.0
2454.0,2273.0
2819.0,2441.0
2753.0,2446.0
2941.0,2218.0
2708.0,2934.0
2921.0,2959.0
2438.0,2949.0
2372.0,2446.0
2266.0,2913.0
2032.0,1831.0
2332.0,2380.0
1976.0,1882.0
2134.0,1770.0
2591.0,1694.0
1915.0,3249.0
1869.0,1943.0
2606.0,1786.0
2733.0,1826.0
2123.0,2797.0
1976.0,2060.0
2068.0,2172.0
1834.0,2212.0
2855.0,1892.0
2164.0,2502.0
1539.0,3122.0
1890.0,2832.0
2708.0,1969.0
1763.0,2888.0
2550.0,2035.0
1610.0,2837.0
3028.0,2228.0
2535.0,2243.0
2992.0,2644.0
2896.0,2853.0
2819.0,3051.0
2992.0,2954.0
2515.0,2817.0
2499.0,2497.0
2499.0,2350.0
2144.0,3122.0
2088.0,2121.0
1956.0,2055.0
2103.0,2309.0
1412.0,3457.0
1798.0,2624.0
1585.0,3020.0
2860.0,2177.0
