xCoord,yCoord
1504.0,2055.0
2291.0,2136.0
2256.0,2289.0
1615.0,2192.0
2565.0,2141.0
2764.0,2258.0
1458.0,1867.0
2423.0,2731.0
1610.0,2004.0
2256.0,2532.0
2550.0,2807.0
2992.0,1379.0
1575.0,1527.0
1661.0,1557.0
1783.0,1542.0
2510.0,1156.0
1356.0,1420.0
2113.0,2868.0
2423.0,1034.0
1234.0,937.0
2027.0,2563.0
2169.0,1608.0
1783.0,1755.0
1194.0,1151.0
1387.0,1608.0
2068.0,1471.0
1976.0,3091.0
1331.0,1537.0
2022.0,1689.0
2159.0,1791.0
1753.0,2075.0
1204.0,1288.0
1905.0,1770.0
1265.0,1400.0
1900.0,2466.0
1819.0,1928.0
1824.0,2588.0
914.0,902.0
1021.0,1059.0
1834.0,2091.0
1905.0,2385.0
818.0,1100.0
1133.0,2964.0
2149.0,1953.0
2068.0,1974.0
1829.0,2207.0
1026.0,1202.0
1377.0,1674.0
909.0,1161.0
1976.0,2004.0
2042.0,2116.0
1890.0,2314.0
940.0,1339.0
1016.0,1547.0
818.0,1491.0
1229.0,1684.0
1727.0,2268.0
1737.0,2207.0
1052.0,1933.0
1666.0,2258.0
2281.0,2070.0
2652.0,2212.0
2637.0,1837.0
2489.0,1877.0
2438.0,1974.0
2946.0,1740.0
2677.0,1659.0
2921.0,1237.0
1570.0,1694.0
2708.0,1567.0
2418.0,2980.0
2870.0,1085.0
2774.0,1242.0
2383.0,2776.0
2692.0,1405.0
1636.0,1425.0
1707.0,1491.0
1854.0,1522.0
2494.0,1583.0
2723.0,1110.0
2418.0,1811.0
2113.0,1151.0
2276.0,1577.0
2347.0,1913.0
2301.0,1989.0
2169.0,1481.0
1824.0,2055.0
2027.0,3173.0
2002.0,2563.0
1971.0,2487.0
1240.0,2974.0
1808.0,2665.0
1930.0,2101.0
1265.0,2746.0
1885.0,2258.0
1946.0,1994.0
1580.0,2654.0
1930.0,2370.0
2027.0,2106.0
2144.0,2228.0
1240.0,2273.0
1021.0,1979.0
2042.0,2304.0
1240.0,2055.0
2240.0,2131.0
1554.0,2375.0
2200.0,2228.0
1438.0,2116.0
1651.0,2395.0
1433.0,1781.0
1387.0,1953.0
1549.0,2202.0
