xCoord,yCoord
1946.0,2405.0
2057.0,2350.0
1961.0,2522.0
1468.0,2380.0
2098.0,2751.0
2936.0,2502.0
2235.0,3142.0
1763.0,2715.0
1849.0,2847.0
1519.0,2456.0
2530.0,1664.0
1702.0,3137.0
2692.0,1430.0
1590.0,1826.0
1585.0,3259.0
1397.0,1643.0
1397.0,1725.0
1895.0,1750.0
1590.0,1877.0
991.0,1511.0
1285.0,3350.0
1509.0,1984.0
1224.0,1699.0
1717.0,1933.0
1966.0,1887.0
1438.0,2212.0
1209.0,3005.0
742.0,1704.0
1392.0,1999.0
864.0,1471.0
1260.0,1831.0
991.0,3081.0
732.0,1816.0
899.0,1786.0
1138.0,1847.0
676.0,1923.0
1255.0,2004.0
1361.0,2116.0
803.0,3005.0
996.0,1948.0
1361.0,2187.0
1138.0,2492.0
1219.0,2080.0
777.0,2680.0
980.0,2568.0
3023.0,3183.0
1534.0,2339.0
2637.0,3477.0
2423.0,3376.0
2276.0,1958.0
2824.0,2934.0
2865.0,2314.0
2510.0,2654.0
2357.0,3025.0
2449.0,1857.0
1600.0,2390.0
2195.0,2720.0
2215.0,2990.0
2195.0,3289.0
2860.0,1852.0
2256.0,1862.0
2708.0,1765.0
2515.0,1735.0
2642.0,1603.0
2352.0,1765.0
2545.0,1542.0
1798.0,3132.0
1966.0,1710.0
2454.0,1440.0
1687.0,3259.0
1814.0,1481.0
1605.0,2172.0
2123.0,1908.0
676.0,1395.0
1412.0,3035.0
1732.0,2350.0
1844.0,2101.0
848.0,2746.0
1062.0,2365.0
1300.0,2807.0
1372.0,2568.0
1478.0,2644.0
1875.0,2395.0
1407.0,2431.0
2057.0,2141.0
1610.0,2558.0
1651.0,2563.0
