xCoord,yCoord
1768.0,2370.0
945.0,2456.0
1031.0,2472.0
960.0,2111.0
2022.0,2075.0
1001.0,2233.0
1758.0,2527.0
1641.0,2634.0
2042.0,2299.0
1788.0,2629.0
1387.0,2599.0
2047.0,2487.0
1265.0,2395.0
1372.0,2558.0
986.0,1953.0
1306.0,2477.0
2139.0,2527.0
1250.0,2334.0
1560.0,2786.0
1844.0,2685.0
2154.0,3401.0
2484.0,2350.0
1875.0,3030.0
1646.0,2858.0
2713.0,2583.0
1341.0,2106.0
1453.0,2126.0
1229.0,3086.0
1057.0,1435.0
1519.0,1562.0
1326.0,1435.0
2708.0,1481.0
1245.0,1247.0
2520.0,1532.0
2245.0,1735.0
1854.0,1486.0
970.0,1786.0
935.0,1318.0
1712.0,1786.0
945.0,1618.0
1935.0,1654.0
1854.0,1857.0
610.0,1202.0
777.0,1425.0
452.0,1161.0
1976.0,1908.0
544.0,1501.0
1666.0,1903.0
1773.0,1892.0
432.0,1318.0
549.0,3025.0
909.0,1613.0
665.0,1704.0
472.0,1618.0
478.0,1928.0
503.0,1821.0
899.0,1796.0
1483.0,2411.0
386.0,2329.0
549.0,2395.0
2560.0,3274.0
2474.0,3274.0
2250.0,2268.0
2388.0,3355.0
2631.0,2903.0
2774.0,2715.0
2433.0,2472.0
2322.0,3015.0
2062.0,2578.0
2271.0,3294.0
1346.0,2304.0
2149.0,2919.0
2149.0,2009.0
2591.0,2177.0
2824.0,2314.0
2733.0,2253.0
1143.0,1826.0
2423.0,2019.0
2281.0,2004.0
1463.0,2050.0
2535.0,2055.0
1336.0,1745.0
1417.0,1847.0
2464.0,1923.0
1199.0,1669.0
1539.0,1994.0
1356.0,3071.0
2240.0,1882.0
2677.0,1867.0
1082.0,1806.0
2449.0,1842.0
1834.0,1471.0
1560.0,2131.0
1245.0,1410.0
1387.0,1547.0
2281.0,1816.0
2560.0,1623.0
1229.0,1598.0
2098.0,1948.0
1179.0,1207.0
1062.0,1171.0
1631.0,2263.0
1773.0,2085.0
1570.0,2472.0
1717.0,2243.0
569.0,2167.0
498.0,2507.0
655.0,2639.0
401.0,2609.0
472.0,1892.0
630.0,2324.0
752.0,2157.0
767.0,2497.0
970.0,1892.0
980.0,2644.0
1651.0,2451.0
909.0,2050.0
1971.0,2151.0
838.0,2553.0
1052.0,2634.0
1900.0,2212.0
