xCoord,yCoord
2103.0,2289.0
3607.0,2558.0
2062.0,2192.0
2276.0,2253.0
3708.0,2461.0
3744.0,2126.0
3693.0,2847.0
3774.0,2538.0
2057.0,2035.0
2982.0,2731.0
3439.0,2913.0
2443.0,2172.0
2885.0,2461.0
2626.0,2136.0
2601.0,1923.0
2860.0,3294.0
3896.0,1227.0
2850.0,2030.0
3378.0,1095.0
3724.0,1242.0
2875.0,1440.0
2581.0,3401.0
2662.0,1075.0
3586.0,1506.0
2875.0,1130.0
3485.0,1664.0
2088.0,973.0
3317.0,1303.0
2007.0,1435.0
2565.0,3528.0
3261.0,1699.0
1793.0,1461.0
2484.0,1115.0
3205.0,1831.0
3332.0,1654.0
1941.0,1583.0
1966.0,1633.0
3089.0,2202.0
3459.0,1831.0
2129.0,3650.0
2174.0,3421.0
1702.0,1542.0
3622.0,1837.0
2027.0,3056.0
1707.0,1750.0
3124.0,2360.0
1844.0,1770.0
1930.0,1781.0
1742.0,2431.0
3099.0,2416.0
3068.0,2538.0
2245.0,2080.0
3068.0,2441.0
3007.0,2446.0
3835.0,1913.0
3063.0,2370.0
2286.0,1826.0
2657.0,1943.0
2789.0,2024.0
3978.0,1867.0
2565.0,1745.0
2235.0,1750.0
3119.0,3589.0
2301.0,1699.0
2769.0,1710.0
3058.0,3376.0
3967.0,1171.0
2570.0,1669.0
3058.0,3259.0
2408.0,1608.0
2880.0,3579.0
3119.0,1750.0
2616.0,1461.0
2875.0,3254.0
2906.0,1537.0
3769.0,1151.0
3825.0,1852.0
3886.0,1288.0
3221.0,1125.0
2941.0,3107.0
2987.0,2974.0
3272.0,1389.0
2540.0,1227.0
2195.0,998.0
2819.0,963.0
1956.0,1146.0
2098.0,1461.0
2769.0,3147.0
3851.0,1725.0
2840.0,1125.0
2677.0,3609.0
2758.0,1196.0
3251.0,2050.0
3332.0,1730.0
3251.0,2157.0
2438.0,3772.0
2479.0,3472.0
1920.0,1567.0
2977.0,2786.0
2103.0,3335.0
2027.0,3599.0
1920.0,3132.0
2591.0,2883.0
2418.0,2792.0
1803.0,1989.0
1961.0,2995.0
3297.0,2436.0
1941.0,1974.0
2032.0,2700.0
2235.0,2665.0
3637.0,2035.0
1803.0,2599.0
2667.0,2781.0
2804.0,2797.0
2906.0,2792.0
2012.0,1974.0
3444.0,2578.0
3653.0,2197.0
3546.0,2543.0
3195.0,2685.0
3703.0,2278.0
2245.0,2487.0
