xCoord,yCoord
1179.0,2273.0
1681.0,3035.0
1499.0,2802.0
1295.0,2436.0
2621.0,2786.0
2962.0,2543.0
2850.0,2695.0
1214.0,2416.0
3058.0,2370.0
1173.0,2177.0
2002.0,3117.0
2245.0,3122.0
1829.0,2868.0
3033.0,2802.0
1661.0,2426.0
2443.0,3086.0
2896.0,2995.0
1890.0,2507.0
1996.0,2675.0
3165.0,2868.0
2962.0,3320.0
2068.0,2898.0
2682.0,3234.0
3368.0,3391.0
3175.0,3112.0
3114.0,3340.0
3510.0,2959.0
2113.0,2731.0
2819.0,3650.0
2286.0,3315.0
2164.0,2390.0
2174.0,2538.0
2423.0,3701.0
2220.0,2218.0
2179.0,3477.0
2205.0,3584.0
2296.0,2126.0
2047.0,1679.0
1803.0,1562.0
2205.0,1537.0
1341.0,1435.0
1128.0,2014.0
2708.0,1669.0
2941.0,1750.0
2525.0,1923.0
3363.0,1461.0
3190.0,1608.0
970.0,1887.0
2911.0,1903.0
3322.0,2035.0
3505.0,1923.0
2946.0,2075.0
889.0,2075.0
3053.0,2192.0
2611.0,2116.0
2642.0,2024.0
3642.0,1481.0
2896.0,2131.0
818.0,2187.0
2443.0,2355.0
909.0,2934.0
1397.0,2913.0
762.0,2837.0
2626.0,2400.0
1275.0,2334.0
2088.0,3046.0
3012.0,2837.0
3185.0,3162.0
3246.0,2797.0
3475.0,3147.0
3175.0,3381.0
1443.0,1979.0
1956.0,2182.0
3358.0,3604.0
3261.0,3767.0
1661.0,1984.0
1240.0,2024.0
1859.0,2070.0
1600.0,1923.0
2789.0,3777.0
2261.0,2289.0
3216.0,2218.0
1453.0,1872.0
2220.0,1984.0
1798.0,1755.0
2093.0,1842.0
1250.0,1679.0
1321.0,1537.0
3500.0,2411.0
1615.0,1400.0
2169.0,1679.0
1986.0,1547.0
2454.0,1897.0
2027.0,1730.0
2327.0,2624.0
3373.0,2309.0
2540.0,1476.0
2637.0,1669.0
1808.0,1435.0
3277.0,1537.0
2860.0,1481.0
2946.0,1699.0
3175.0,2182.0
3566.0,1562.0
2672.0,1456.0
2413.0,2456.0
904.0,2258.0
777.0,2710.0
808.0,3355.0
2301.0,2919.0
838.0,3147.0
1849.0,3249.0
2510.0,2685.0
1412.0,3234.0
899.0,2507.0
1092.0,2700.0
2830.0,2451.0
2443.0,2853.0
1072.0,2360.0
2601.0,2548.0
