xCoord,yCoord
2865.0,2238.0
2682.0,2324.0
2936.0,2192.0
2418.0,2304.0
2667.0,2456.0
3028.0,2273.0
2830.0,2548.0
2764.0,2507.0
3211.0,2827.0
2438.0,2405.0
2637.0,2614.0
2906.0,3137.0
1377.0,1303.0
2388.0,2599.0
2245.0,1257.0
2642.0,1217.0
1118.0,1410.0
2159.0,3391.0
3277.0,1176.0
1788.0,1379.0
1610.0,1293.0
1808.0,1237.0
2931.0,1283.0
2184.0,2680.0
1336.0,1359.0
3475.0,1450.0
3216.0,1227.0
3388.0,1303.0
2631.0,1323.0
3277.0,1527.0
2179.0,1547.0
1321.0,1481.0
1539.0,1476.0
2144.0,2797.0
2357.0,1491.0
1890.0,3411.0
1773.0,1562.0
2449.0,1384.0
3119.0,1329.0
1524.0,1776.0
1707.0,1674.0
2855.0,1552.0
2835.0,1740.0
1341.0,2314.0
2042.0,2126.0
2697.0,1852.0
1839.0,2121.0
2906.0,1989.0
1971.0,2146.0
3150.0,2324.0
3185.0,2085.0
3586.0,2375.0
3399.0,2019.0
2936.0,2786.0
3221.0,1999.0
3759.0,2101.0
3449.0,1948.0
3586.0,1837.0
3414.0,1770.0
3729.0,1872.0
3185.0,1897.0
3312.0,1837.0
1890.0,1095.0
3495.0,1618.0
3637.0,1420.0
3368.0,1278.0
3266.0,1440.0
3063.0,2060.0
2002.0,2019.0
2408.0,2253.0
1585.0,2370.0
1621.0,2639.0
1900.0,2380.0
