xCoord,yCoord
2210.0,2538.0
1605.0,2441.0
2626.0,1994.0
2560.0,2212.0
2677.0,2075.0
2301.0,2786.0
2418.0,2837.0
1687.0,2451.0
2611.0,2776.0
2697.0,2629.0
2631.0,2426.0
2591.0,3056.0
1849.0,2715.0
2047.0,2929.0
2123.0,3030.0
2479.0,3325.0
1890.0,2797.0
2073.0,3183.0
2281.0,1196.0
1367.0,1638.0
1285.0,1278.0
970.0,1435.0
1717.0,2284.0
2205.0,1364.0
2428.0,1298.0
1687.0,1222.0
1077.0,1532.0
1707.0,1496.0
1346.0,1816.0
1153.0,1638.0
1641.0,1669.0
2367.0,1501.0
965.0,1628.0
1844.0,2985.0
2515.0,1501.0
2271.0,1516.0
2073.0,1420.0
1092.0,1796.0
2601.0,1618.0
1255.0,1776.0
1397.0,3503.0
2479.0,1577.0
2123.0,1577.0
1300.0,3513.0
1773.0,2807.0
1788.0,2705.0
2301.0,1649.0
1123.0,3056.0
2377.0,1577.0
1900.0,1862.0
1001.0,2436.0
1768.0,2497.0
1793.0,2492.0
1270.0,2101.0
1300.0,1913.0
1956.0,2228.0
2525.0,2400.0
2875.0,2024.0
1443.0,1953.0
1692.0,2146.0
2647.0,3183.0
2987.0,1654.0
2438.0,3147.0
2901.0,1496.0
2123.0,2934.0
2479.0,1115.0
2692.0,1674.0
2992.0,1303.0
2936.0,1273.0
1361.0,1313.0
1681.0,1242.0
1727.0,1857.0
2225.0,1202.0
1778.0,2258.0
1895.0,1842.0
1803.0,2045.0
1844.0,3223.0
1372.0,3589.0
1316.0,3244.0
2606.0,1710.0
1580.0,3005.0
1168.0,2695.0
1956.0,2019.0
1839.0,2451.0
1793.0,2568.0
1839.0,2639.0
2398.0,1796.0
1869.0,2583.0
1920.0,2431.0
1326.0,2223.0
2047.0,2390.0
2007.0,2527.0
1488.0,2512.0
1265.0,2273.0
2565.0,2065.0
2306.0,2207.0
1468.0,2197.0
1397.0,2273.0
