xCoord,yCoord
1803.0,1613.0
2159.0,1770.0
2657.0,2212.0
3099.0,2040.0
2652.0,3117.0
2454.0,2614.0
2215.0,2304.0
2449.0,3005.0
2195.0,2599.0
1788.0,1212.0
1935.0,942.0
1692.0,678.0
1880.0,714.0
2631.0,856.0
1580.0,1059.0
1306.0,754.0
1433.0,902.0
1646.0,1186.0
1935.0,2898.0
1427.0,1090.0
1316.0,963.0
1768.0,2517.0
1509.0,2573.0
1367.0,1232.0
1575.0,2512.0
1488.0,2817.0
1534.0,1303.0
1168.0,2395.0
1575.0,2329.0
1067.0,1496.0
1270.0,2212.0
1367.0,2339.0
1092.0,2111.0
1087.0,1867.0
1265.0,1928.0
1392.0,1456.0
1615.0,1892.0
1184.0,1969.0
1062.0,2492.0
1742.0,1948.0
3175.0,2812.0
2957.0,2116.0
2535.0,1542.0
2779.0,2492.0
1956.0,1303.0
2951.0,1704.0
3139.0,2441.0
3053.0,1867.0
2784.0,2111.0
2774.0,2751.0
1814.0,1293.0
3165.0,2091.0
2601.0,2314.0
2703.0,1435.0
1885.0,1212.0
2692.0,2472.0
2454.0,1410.0
2012.0,1222.0
2819.0,1435.0
2586.0,1329.0
2413.0,2370.0
2377.0,1339.0
2621.0,2980.0
2814.0,3076.0
2245.0,2177.0
2123.0,1135.0
2474.0,1232.0
1834.0,1217.0
2098.0,1044.0
2235.0,2334.0
2642.0,1212.0
2327.0,1141.0
2433.0,2954.0
2931.0,1268.0
3018.0,1389.0
2860.0,1156.0
2428.0,1019.0
2062.0,1024.0
2764.0,1166.0
2459.0,643.0
2647.0,1003.0
1951.0,780.0
2357.0,917.0
1788.0,821.0
2215.0,3051.0
2804.0,866.0
2118.0,729.0
2814.0,1095.0
2093.0,622.0
2992.0,810.0
2250.0,653.0
1880.0,2919.0
2012.0,2685.0
1783.0,2639.0
1981.0,2345.0
1128.0,1765.0
1392.0,2548.0
1793.0,2350.0
1341.0,2253.0
1615.0,2426.0
1433.0,2472.0
1681.0,1928.0
1844.0,2111.0
1133.0,2223.0
2022.0,2024.0
1737.0,1410.0
1026.0,2045.0
1697.0,1537.0
1814.0,1806.0
1692.0,1725.0
