xCoord,yCoord
2372.0,1994.0
2377.0,2136.0
2342.0,2400.0
2504.0,2431.0
2764.0,2162.0
3231.0,2832.0
3150.0,2146.0
3454.0,1760.0
2616.0,2502.0
2662.0,2720.0
3012.0,2644.0
2398.0,932.0
1458.0,993.0
2215.0,2807.0
1118.0,1054.0
1793.0,841.0
1671.0,1115.0
1245.0,1100.0
2139.0,1247.0
2017.0,1064.0
1773.0,1257.0
1499.0,1156.0
884.0,1334.0
1976.0,1191.0
2052.0,1400.0
1387.0,1166.0
1712.0,1334.0
2230.0,1633.0
1575.0,1374.0
1321.0,1308.0
1768.0,3173.0
1814.0,2990.0
1935.0,1471.0
1783.0,1450.0
1778.0,2807.0
1514.0,1440.0
1199.0,1389.0
2098.0,1481.0
986.0,1542.0
1224.0,1552.0
1382.0,2990.0
1194.0,1857.0
1763.0,2223.0
2007.0,1740.0
1768.0,1659.0
1646.0,2273.0
1377.0,1552.0
1524.0,1704.0
2256.0,1745.0
1641.0,1649.0
2159.0,1791.0
1448.0,1887.0
2438.0,1694.0
3266.0,2680.0
3180.0,2004.0
3043.0,1867.0
3175.0,3081.0
2769.0,1618.0
3424.0,1730.0
2809.0,2421.0
2891.0,1516.0
3246.0,1638.0
2972.0,3005.0
2200.0,2207.0
2723.0,1476.0
3439.0,1303.0
3180.0,1415.0
3018.0,1344.0
2880.0,1237.0
2596.0,1430.0
2479.0,1552.0
2443.0,2731.0
3383.0,1176.0
2794.0,1135.0
1864.0,1095.0
2423.0,1171.0
2748.0,1059.0
2215.0,963.0
2413.0,3213.0
2393.0,1339.0
2398.0,1669.0
2962.0,932.0
2078.0,1268.0
2174.0,3208.0
2062.0,2980.0
1641.0,3051.0
1748.0,2456.0
1351.0,1735.0
2357.0,1816.0
1407.0,2248.0
2291.0,1867.0
1697.0,1791.0
1488.0,2060.0
2276.0,2060.0
2068.0,2116.0
