xCoord,yCoord
1382.0,1704.0
2982.0,1410.0
2718.0,1720.0
3068.0,1283.0
2814.0,1618.0
3109.0,1323.0
1443.0,1699.0
2926.0,1537.0
2489.0,1969.0
2936.0,1674.0
3094.0,1501.0
2677.0,1923.0
2301.0,1958.0
2733.0,2055.0
3023.0,1801.0
2758.0,2101.0
3607.0,1974.0
3439.0,1420.0
2520.0,2045.0
3322.0,3015.0
3683.0,1786.0
2362.0,2050.0
3409.0,2446.0
3053.0,2385.0
2764.0,2248.0
2703.0,2360.0
3155.0,2812.0
2824.0,2781.0
3038.0,2893.0
3363.0,1003.0
2804.0,749.0
2951.0,2995.0
1753.0,749.0
1427.0,1420.0
3094.0,638.0
1697.0,1262.0
1560.0,1237.0
1316.0,1318.0
2550.0,2934.0
3129.0,937.0
2652.0,902.0
2088.0,1186.0
1981.0,1303.0
1514.0,1166.0
2946.0,871.0
1158.0,1334.0
1768.0,1654.0
1052.0,1156.0
3078.0,1115.0
1265.0,1430.0
2672.0,978.0
2957.0,1059.0
1133.0,1445.0
2398.0,1186.0
1077.0,1537.0
1854.0,2177.0
1240.0,2182.0
2250.0,1450.0
2667.0,1181.0
1102.0,2162.0
2906.0,1110.0
2042.0,1852.0
1356.0,2116.0
1798.0,1770.0
1768.0,1735.0
1737.0,1740.0
1539.0,1598.0
3327.0,1237.0
1468.0,1562.0
3358.0,1842.0
3561.0,2903.0
3759.0,1704.0
2677.0,2167.0
3764.0,1552.0
3378.0,2827.0
3429.0,1125.0
3302.0,2715.0
3561.0,1034.0
3160.0,1151.0
3724.0,1008.0
3404.0,1014.0
3465.0,912.0
1702.0,1572.0
2992.0,2802.0
3713.0,866.0
3597.0,694.0
2342.0,760.0
3292.0,983.0
3211.0,1085.0
1534.0,1450.0
1636.0,1323.0
1753.0,1186.0
1580.0,1207.0
2276.0,1359.0
2596.0,1196.0
1351.0,1598.0
1422.0,2385.0
1621.0,2365.0
1306.0,2080.0
2357.0,1649.0
2316.0,1872.0
1260.0,1892.0
1483.0,2070.0
1412.0,1867.0
1580.0,1969.0
