xCoord,yCoord
2550.0,1786.0
2667.0,1877.0
2769.0,1816.0
2992.0,1745.0
3089.0,1882.0
2901.0,1953.0
3124.0,2019.0
3175.0,2228.0
3378.0,2146.0
3109.0,2482.0
2733.0,2065.0
2809.0,2182.0
2743.0,2268.0
2957.0,2441.0
2454.0,1923.0
2637.0,2126.0
2499.0,2035.0
2703.0,2375.0
2672.0,2507.0
2565.0,2304.0
2464.0,2527.0
2423.0,2106.0
2250.0,2253.0
2184.0,1989.0
2301.0,1837.0
2139.0,2030.0
2245.0,1359.0
2108.0,1389.0
2357.0,1369.0
3322.0,2268.0
3251.0,2400.0
3114.0,2339.0
2637.0,1958.0
2875.0,2212.0
3023.0,2461.0
2596.0,1908.0
2189.0,1943.0
1900.0,1964.0
2510.0,1821.0
2835.0,1461.0
2479.0,1720.0
2276.0,1486.0
1986.0,1760.0
2931.0,1557.0
2621.0,1801.0
