xCoord,yCoord
2464.0,2197.0
2398.0,2461.0
2510.0,2822.0
2459.0,2583.0
3205.0,2517.0
3500.0,2477.0
2459.0,3178.0
2073.0,2436.0
3231.0,2040.0
1925.0,3025.0
2088.0,1186.0
1920.0,2751.0
1849.0,1359.0
1946.0,2365.0
1656.0,3147.0
1473.0,1059.0
1311.0,1252.0
1209.0,1303.0
1377.0,1364.0
1539.0,1283.0
1773.0,1577.0
889.0,1237.0
1539.0,1588.0
980.0,1359.0
1793.0,1669.0
1407.0,1740.0
1534.0,1420.0
1539.0,3081.0
1097.0,1506.0
1900.0,2207.0
1392.0,1608.0
1722.0,1776.0
681.0,1801.0
1519.0,2670.0
991.0,1669.0
1300.0,2939.0
919.0,1862.0
798.0,2558.0
980.0,2731.0
1280.0,1923.0
777.0,2294.0
1026.0,2959.0
1285.0,3239.0
975.0,2202.0
1737.0,2192.0
1839.0,1938.0
1240.0,2416.0
1234.0,2604.0
2794.0,2416.0
3043.0,2218.0
2997.0,3345.0
3307.0,2964.0
2713.0,1918.0
2388.0,2370.0
3449.0,2070.0
2266.0,2289.0
2510.0,2350.0
2581.0,2609.0
3322.0,2568.0
3145.0,2436.0
3007.0,2014.0
3632.0,2365.0
3012.0,2954.0
2438.0,1781.0
2520.0,1877.0
2738.0,1801.0
3338.0,1740.0
3068.0,1821.0
3419.0,1918.0
2596.0,3173.0
2103.0,2345.0
2230.0,1831.0
3150.0,1654.0
2281.0,1720.0
2845.0,1471.0
2276.0,2898.0
3099.0,1557.0
2464.0,1608.0
2479.0,1491.0
2235.0,3183.0
2957.0,1400.0
3094.0,1354.0
2311.0,1395.0
2611.0,1227.0
2149.0,3355.0
2733.0,1344.0
3094.0,1237.0
2301.0,1262.0
2464.0,1141.0
2052.0,2233.0
1808.0,3198.0
1702.0,3040.0
1240.0,1461.0
1651.0,3234.0
767.0,1786.0
1433.0,1445.0
1803.0,2878.0
1316.0,2908.0
879.0,2665.0
1016.0,2050.0
1123.0,2837.0
1778.0,2411.0
1194.0,2700.0
1351.0,2538.0
1097.0,3147.0
