xCoord,yCoord
2438.0,1704.0
2195.0,2030.0
1920.0,2035.0
2428.0,1867.0
2515.0,1684.0
1641.0,1745.0
2017.0,2091.0
2626.0,1710.0
1788.0,1872.0
1316.0,1501.0
1427.0,1572.0
3048.0,2212.0
3018.0,2654.0
3109.0,2345.0
3033.0,1994.0
2276.0,2441.0
2342.0,2512.0
2398.0,2695.0
2774.0,2162.0
2809.0,2345.0
2510.0,1318.0
2002.0,2268.0
1214.0,1334.0
3221.0,1476.0
2840.0,1135.0
1885.0,2786.0
1803.0,1212.0
1951.0,2426.0
1351.0,815.0
3012.0,795.0
1184.0,1242.0
1229.0,897.0
1727.0,2685.0
1814.0,856.0
2007.0,1059.0
1849.0,1532.0
1631.0,2792.0
2504.0,1034.0
2306.0,1090.0
1722.0,2390.0
2306.0,1166.0
1372.0,2583.0
2433.0,1217.0
1935.0,1781.0
1204.0,1984.0
2967.0,2324.0
2845.0,2685.0
3089.0,2045.0
2814.0,1643.0
3145.0,1806.0
3089.0,2502.0
2992.0,1882.0
2677.0,2395.0
2875.0,2253.0
2474.0,2472.0
2631.0,1273.0
1697.0,1425.0
1422.0,1288.0
1864.0,1542.0
2113.0,2207.0
1661.0,1308.0
1554.0,1278.0
1422.0,1217.0
3023.0,1161.0
1585.0,1166.0
2007.0,2736.0
2723.0,1212.0
3012.0,1115.0
3145.0,922.0
1788.0,1024.0
2860.0,1034.0
1981.0,1557.0
3033.0,856.0
2774.0,1125.0
1422.0,927.0
2880.0,795.0
2093.0,699.0
1697.0,851.0
2860.0,704.0
1971.0,876.0
1763.0,2786.0
1890.0,2324.0
2581.0,1217.0
2520.0,1293.0
1250.0,2223.0
1240.0,2014.0
2311.0,1527.0
1473.0,1984.0
1768.0,2121.0
1113.0,2131.0
1102.0,1674.0
1229.0,1806.0
1219.0,1506.0
2454.0,1435.0
2103.0,1918.0
2377.0,1547.0
1895.0,1989.0
2291.0,1765.0
