xCoord,yCoord
2703.0,1288.0
2621.0,1679.0
2520.0,1806.0
2489.0,2106.0
2652.0,2207.0
2774.0,1994.0
2875.0,1913.0
3078.0,1791.0
2926.0,2339.0
2591.0,2370.0
2946.0,2390.0
2758.0,2375.0
2728.0,2527.0
3058.0,2629.0
2220.0,2482.0
2931.0,1191.0
2753.0,1095.0
1996.0,2873.0
2108.0,2070.0
2083.0,2258.0
2027.0,2472.0
1951.0,795.0
1758.0,734.0
2144.0,775.0
1605.0,734.0
1737.0,927.0
1494.0,958.0
2266.0,795.0
1900.0,993.0
2017.0,973.0
762.0,1440.0
1422.0,795.0
1697.0,968.0
1214.0,2939.0
1895.0,1090.0
1519.0,2578.0
2286.0,907.0
2230.0,963.0
2479.0,958.0
2398.0,927.0
1224.0,1395.0
1605.0,1110.0
1798.0,1181.0
2570.0,948.0
1265.0,2715.0
935.0,2218.0
1402.0,2223.0
1793.0,2218.0
1316.0,2121.0
1478.0,1567.0
1240.0,1745.0
1438.0,1882.0
762.0,2461.0
2154.0,1232.0
2362.0,1110.0
2708.0,1039.0
2357.0,1196.0
914.0,2888.0
696.0,2675.0
2957.0,1750.0
3150.0,1786.0
2733.0,2167.0
2860.0,2334.0
2347.0,2141.0
2510.0,2202.0
2824.0,1024.0
3180.0,2654.0
3175.0,1095.0
3099.0,1059.0
2494.0,2726.0
2982.0,1024.0
2398.0,3091.0
3307.0,892.0
3150.0,881.0
2977.0,988.0
2052.0,3061.0
2195.0,2085.0
1905.0,2746.0
1046.0,1242.0
843.0,1806.0
1300.0,1456.0
1839.0,2395.0
1011.0,1654.0
1671.0,1283.0
1087.0,1933.0
772.0,2167.0
1488.0,2680.0
2347.0,1171.0
1372.0,2030.0
1341.0,2644.0
1346.0,2273.0
1107.0,2512.0
2377.0,1176.0
2179.0,1323.0
1458.0,2334.0
1580.0,1984.0
2174.0,1882.0
1463.0,1735.0
2703.0,1151.0
2032.0,1654.0
2210.0,1806.0
2347.0,1268.0
2306.0,1694.0
2459.0,1649.0
