xCoord,yCoord
3150.0,1821.0
3246.0,1638.0
1773.0,1562.0
1935.0,1654.0
3190.0,2146.0
3348.0,1781.0
2225.0,1750.0
2393.0,1826.0
3327.0,2355.0
3515.0,2126.0
2454.0,3173.0
2525.0,2903.0
2098.0,2847.0
1935.0,3025.0
1946.0,2670.0
1610.0,3142.0
3221.0,1095.0
3454.0,1125.0
2032.0,2207.0
3221.0,1384.0
1778.0,2543.0
1468.0,2954.0
1626.0,2400.0
2677.0,1511.0
3236.0,1450.0
2454.0,1623.0
2047.0,1339.0
1854.0,1334.0
3470.0,2030.0
2713.0,2060.0
2459.0,1359.0
3510.0,2639.0
3160.0,2456.0
1783.0,1186.0
3231.0,3137.0
1859.0,1217.0
2738.0,2431.0
2261.0,1135.0
2758.0,2710.0
1951.0,1115.0
3414.0,1522.0
3002.0,3040.0
2129.0,1100.0
2576.0,3046.0
2433.0,2091.0
2362.0,2619.0
3526.0,1588.0
2484.0,2802.0
2225.0,2969.0
2540.0,1268.0
2276.0,3051.0
2352.0,2538.0
2134.0,2736.0
3647.0,1588.0
2291.0,2258.0
1737.0,3117.0
3602.0,1227.0
3378.0,1430.0
1864.0,2614.0
1976.0,2842.0
1529.0,3086.0
1753.0,2522.0
3007.0,1532.0
1483.0,2106.0
1814.0,2172.0
