"","c.0.809160305343511..0.809160305343511..0.801526717557252..0.801526717557252..","c.0.9375..0.9375..0.875..0.875..0.6875..0.6875..0.6875..0.6875..","c.0.824561403508772..0.815789473684211..0.807017543859649..0.789473684210526..","c.0.9..0.9..0.9..0.9..0.9..0.85..0.8..0.65..0.65..0.6..0.6..0.6.."
"1",0.809160305343511,0.9375,0.824561403508772,0.9
"2",0.809160305343511,0.9375,0.815789473684211,0.9
"3",0.801526717557252,0.875,0.807017543859649,0.9
"4",0.801526717557252,0.875,0.789473684210526,0.9
"5",0.778625954198473,0.6875,0.763157894736842,0.9
"6",0.778625954198473,0.6875,0.736842105263158,0.85
"7",0.770992366412214,0.6875,0.692982456140351,0.8
"8",0.748091603053435,0.6875,0.640350877192982,0.65
"9",0.709923664122137,0.625,0.605263157894737,0.65
"10",0.679389312977099,0.625,0.5,0.6
"11",0.603053435114504,0.5625,0.482456140350877,0.6
"12",0.549618320610687,0.5625,0.403508771929825,0.6
"13",0.450381679389313,0.5625,0.37719298245614,0.6
"14",0.374045801526718,0.5,0.324561403508772,0.6
"15",0.33587786259542,0.4375,0.280701754385965,0.55
"16",0.312977099236641,0.375,0.201754385964912,0.45
"17",0.267175572519084,0.375,0.157894736842105,0.4
"18",0.259541984732824,0.375,0.0701754385964912,0.3
"19",0.236641221374046,0.375,0.0701754385964912,0.25
"20",0.190839694656489,0.3125,0.0614035087719298,0.2
"21",0.16793893129771,0.25,0.0526315789473684,0.1
"22",0.16030534351145,0.25,0.0526315789473684,0.1
"23",0.129770992366412,0.1875,0.0350877192982456,0.1
"24",0.099236641221374,0.1875,0.0350877192982456,0.1
"25",0.083969465648855,0.1875,0.0350877192982456,0.1
"26",0.0610687022900763,0.1875,0.0263157894736842,0.1
"27",0.0610687022900763,0.1875,0.0263157894736842,0.1
"28",0.0534351145038168,0.125,0.0087719298245614,0.1
"29",0.0534351145038168,0.125,0.0087719298245614,0.1
"30",0.0458015267175573,0.125,0.0087719298245614,0.1
"31",0.0458015267175573,0.125,0.0087719298245614,0.1
"32",0.0458015267175573,0.125,0.0087719298245614,0.1
"33",0.0381679389312977,0.125,0.0087719298245614,0.1
"34",0.0305343511450382,0.0625,0.0087719298245614,0.1
"35",0.0305343511450382,0.0625,0.0087719298245614,0.1
"36",0.0229007633587786,0.0625,0.0087719298245614,0.1
"37",0.0152671755725191,0.0625,0.0087719298245614,0.1
"38",0.0152671755725191,0.0625,0.0087719298245614,0.1
"39",0.0152671755725191,0.0625,0.0087719298245614,0.1
"40",0.00763358778625954,0.0625,0.0087719298245614,0.1
"41",0.00763358778625954,0.0625,0.0087719298245614,0.05
"42",0.00763358778625954,0.0625,0.0087719298245614,0.05
"43",0.00763358778625954,0.0625,0.0087719298245614,0.05
"44",0.00763358778625954,0.0625,0.0087719298245614,0.05
"45",0.00763358778625954,0.0625,0.0087719298245614,0.05
"46",0.00763358778625954,0.0625,0.0087719298245614,0.05
"47",0.00763358778625954,0.0625,0.0087719298245614,0.05
"48",0.00763358778625954,0.0625,0.0087719298245614,0.05
"49",0.00763358778625954,0.0625,0.0087719298245614,0.05
"50",0.00763358778625954,0.0625,0.0087719298245614,0.05
"51",0.00763358778625954,0.0625,0.0087719298245614,0.05
"52",0.00763358778625954,0.0625,0.0087719298245614,0.05
"53",0.00763358778625954,0.0625,0.0087719298245614,0.05
"54",0.00763358778625954,0.0625,0.0087719298245614,0.05
"55",0.00763358778625954,0.0625,0.0087719298245614,0.05
"56",0.00763358778625954,0.0625,0.0087719298245614,0.05
"57",0.00763358778625954,0.0625,0.0087719298245614,0.05
"58",0.00763358778625954,0.0625,0.0087719298245614,0.05
"59",0.00763358778625954,0.0625,0.0087719298245614,0.05
"60",0.00763358778625954,0.0625,0.0087719298245614,0.05
"61",0.00763358778625954,0.0625,0.0087719298245614,0.05
"62",0.00763358778625954,0.0625,0.0087719298245614,0.05
"63",0.00763358778625954,0.0625,0.0087719298245614,0.05
"64",0.00763358778625954,0.0625,0.0087719298245614,0.05
"65",0.00763358778625954,0.0625,0.0087719298245614,0.05
"66",0.00763358778625954,0.0625,0.0087719298245614,0.05
"67",0.00763358778625954,0.0625,0.0087719298245614,0.05
"68",0.00763358778625954,0.0625,0.0087719298245614,0.05
"69",0.00763358778625954,0.0625,0.0087719298245614,0.05
"70",0.00763358778625954,0.0625,0.0087719298245614,0.05
"71",0.00763358778625954,0.0625,0.0087719298245614,0.05
"72",0.00763358778625954,0.0625,0.0087719298245614,0.05
"73",0.00763358778625954,0.0625,0.0087719298245614,0.05
"74",0.00763358778625954,0.0625,0.0087719298245614,0.05
"75",0.00763358778625954,0.0625,0.0087719298245614,0.05
"76",0.00763358778625954,0.0625,0.0087719298245614,0.05
"77",0.00763358778625954,0.0625,0.0087719298245614,0.05
"78",0.00763358778625954,0.0625,0.0087719298245614,0.05
"79",0.00763358778625954,0.0625,0.0087719298245614,0.05
"80",0.00763358778625954,0.0625,0.0087719298245614,0.05
"81",0.00763358778625954,0.0625,0.0087719298245614,0.05
"82",0.00763358778625954,0.0625,0.0087719298245614,0.05
"83",0.00763358778625954,0.0625,0.0087719298245614,0.05
"84",0.00763358778625954,0.0625,0.0087719298245614,0.05
"85",0.00763358778625954,0.0625,0.0087719298245614,0.05
"86",0.00763358778625954,0.0625,0.0087719298245614,0.05
"87",0.00763358778625954,0.0625,0.0087719298245614,0.05
"88",0.00763358778625954,0.0625,0.0087719298245614,0.05
"89",0.00763358778625954,0.0625,0.0087719298245614,0.05
